fichier_prepare,nom_source,classement_provisoire
documents/supports_generaux/100_questions_logha_arabia.pdf,100 questions logha arabia.pdf,supports_generaux
documents/supports_generaux/100-Comics-For-Learning-Arabic.pdf,100-Comics-For-Learning-Arabic.pdf,supports_generaux
documents/referentiels/CEFR_Companion_volume_fra.pdf,CEFR Companion volume_fra.pdf,referentiels
documents/supports_generaux/dalil_logha_arabia.pdf,dalil logha arabia.pdf,supports_generaux
documents/primaire/guide_peda_CE1_24_septembre_1_.pdf,guide_peda_CE1_24_septembre[1].pdf,primaire
documents/a_classifier/Livret_daccueil_CEA_2024-2025_copie.pdf,Livret_daccueil_CEA_2024-2025_copie.pdf,a_classifier
documents/primaire/Miftah+qiraa+act+2+VF__1_.pdf,Miftah+qiraa+act+2+VF (1).pdf,primaire
documents/primaire/Miftah_1_copie.pdf,Miftah_1_copie.pdf,primaire
documents/primaire/Miftah_2_copie.pdf,Miftah_2_copie.pdf,primaire
documents/primaire/Miftah_3_copie.pdf,Miftah_3_copie.pdf,primaire
documents/a_classifier/scan_rachid_benlemallem_2024-10-14-15-02-57-1.pdf,scan_rachid.benlemallem_2024-10-14-15-02-57-1.pdf,a_classifier
documents/supports_generaux/Sokkan_alJarra.pdf,Sokkan_alJarra.pdf,supports_generaux
documents/primaire/unite_5_CM1.pdf,unite 5 CM1.pdf,primaire
documents/supports_generaux/wc-lesson-plans__1_.pdf,wc-lesson-plans (1).pdf,supports_generaux
documents/supports_generaux/Workbook_arabi_non_native.pdf,Workbook arabi non native.pdf,supports_generaux
